timestamp,elapsed_seconds,battery_mv,temperature_c,charge_state,charge_state_code,charge_current_ma,sample_interval_seconds,state,error
2026-08-14T18:32:28+10:00,0.0,3837,27,0x02,2,0,900,BASELINE,
2026-08-14T18:33:00+10:00,32.0,,,,,,900,BANK_CONNECTED,
2026-08-14T18:37:59+10:00,331.0,3862,28,0x02,2,0,900,MANUAL_CHECK,
2026-08-14T18:47:28+10:00,900.4,3896,29,0x02,2,0,900,BASELINE,
2026-08-14T19:02:29+10:00,1800.7,3955,30,0x02,2,0,900,BASELINE,
2026-08-14T19:17:29+10:00,2701.0,3999,30,0x02,2,0,900,BASELINE,
2026-08-14T19:23:24+10:00,0.0,4022,30,0x02,2,0,900,BASELINE,
2026-08-14T19:38:24+10:00,900.3,4091,31,0x02,2,0,900,BASELINE,
2026-08-14T19:53:24+10:00,1800.7,4174,30,0x02,2,0,900,BASELINE,
2026-08-14T20:08:25+10:00,2701.0,4204,30,0x02,2,0,900,BASELINE,
2026-08-14T20:23:25+10:00,3601.3,4204,30,0x02,2,0,900,BASELINE,
2026-08-14T20:38:25+10:00,4501.6,4199,29,0x05,5,0,900,BASELINE,
2026-08-14T20:53:26+10:00,5401.9,4194,28,0x05,5,0,900,BASELINE,
2026-08-14T21:08:26+10:00,6302.3,4194,28,0x05,5,0,900,BASELINE,
2026-08-14T21:23:26+10:00,7202.6,4194,28,0x05,5,0,900,BASELINE,
2026-08-14T21:38:26+10:00,8102.9,4194,27,0x05,5,0,900,BASELINE,
2026-08-14T21:53:27+10:00,9003.2,4199,27,0x05,5,0,900,BASELINE,
2026-08-14T22:08:27+10:00,9903.6,4194,27,0x05,5,0,900,BASELINE,
2026-08-14T22:23:27+10:00,10803.8,4199,27,0x05,5,0,900,BASELINE,
2026-08-14T22:38:28+10:00,11704.2,4194,26,0x02,2,0,900,BASELINE,
2026-08-14T22:53:28+10:00,12604.5,4194,26,0x05,5,0,900,BASELINE,
2026-08-14T23:08:28+10:00,13504.8,4194,26,0x05,5,0,900,BASELINE,
2026-08-14T23:23:29+10:00,14405.1,4194,26,0x05,5,0,900,BASELINE,
2026-08-14T23:38:29+10:00,15305.4,4194,26,0x05,5,0,900,BASELINE,
2026-08-14T23:53:29+10:00,16205.8,4194,26,0x05,5,0,900,BASELINE,
2026-08-15T00:08:30+10:00,17106.1,4199,26,0x05,5,0,900,BASELINE,
2026-08-15T00:23:30+10:00,18006.4,4194,26,0x05,5,0,900,BASELINE,
2026-08-15T00:38:30+10:00,18906.7,4194,26,0x05,5,0,900,BASELINE,
2026-08-15T00:53:31+10:00,19807.0,4199,26,0x05,5,0,900,BASELINE,
2026-08-15T01:08:31+10:00,20707.3,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T01:23:31+10:00,21607.7,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T01:38:32+10:00,22508.0,4199,25,0x05,5,0,900,BASELINE,
2026-08-15T01:53:32+10:00,23408.3,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T02:08:32+10:00,24308.6,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T02:23:33+10:00,25208.9,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T02:38:33+10:00,26109.3,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T02:53:33+10:00,27009.6,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T03:08:33+10:00,27909.9,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T03:23:34+10:00,28810.2,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T03:38:34+10:00,29710.5,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T03:53:34+10:00,30610.9,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T04:08:35+10:00,31511.2,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T04:23:35+10:00,32411.5,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T04:38:35+10:00,33311.8,4194,25,0x05,5,0,900,BASELINE,
2026-08-15T04:53:36+10:00,34212.1,4194,24,0x05,5,0,900,BASELINE,
2026-08-15T05:08:36+10:00,35112.4,4194,24,0x05,5,0,900,BASELINE,
2026-08-15T05:23:36+10:00,36012.7,4194,24,0x05,5,0,900,BASELINE,
2026-08-15T05:38:37+10:00,36913.1,4194,24,0x05,5,0,900,BASELINE,
2026-08-15T05:53:37+10:00,37813.4,4194,24,0x05,5,0,900,BASELINE,
2026-08-15T06:08:37+10:00,38713.7,4194,24,0x05,5,0,900,BASELINE,
2026-08-15T06:23:38+10:00,39614.0,,,,,,900,ERROR,HTTP Error 502: Bad Gateway
2026-08-15T06:38:38+10:00,40514.1,,,,,,900,ERROR,HTTP Error 502: Bad Gateway
2026-08-15T06:53:38+10:00,41414.2,,,,,,900,ERROR,HTTP Error 502: Bad Gateway
2026-08-15T07:08:38+10:00,42314.3,,,,,,900,ERROR,HTTP Error 502: Bad Gateway
2026-08-15T07:23:38+10:00,43214.4,,,,,,900,ERROR,HTTP Error 502: Bad Gateway
